youtube_id,youtube_url,title,beat_file,parsed_file,measure_count,duration_sec,duration_min,time_signatures,primary_time_signature,time_signature_count,has_meter_change,contains_non_44,contains_odd_meter,contains_uncommon_meter,annotation_event_count,annotation_label_count,annotation_labels
yJFaEfwu6J8,https://www.youtube.com/watch?v=yJFaEfwu6J8,$20,$20_yJFaEfwu6J8.beat,$20_yJFaEfwu6J8.beat.beats.json,69,195.2542,3.25,7/4|5/4|4/4|6/4|3/4,6/4,5,true,true,true,true,0,0,
xpqk9MD6vLM,https://www.youtube.com/watch?v=xpqk9MD6vLM,15 Step,15 Step_xpqk9MD6vLM.beat,15 Step_xpqk9MD6vLM.beat.beats.json,143,226.3492,3.77,5/4|4/4,5/4,2,true,true,true,true,0,0,
2w6kHS_IRrE,https://www.youtube.com/watch?v=2w6kHS_IRrE,2 + 2 = 5,2 + 2 = 5_2w6kHS_IRrE.beat,2 + 2 = 5_2w6kHS_IRrE.beat.beats.json,121,185.6375,3.09,7/8|9/8|4/4,4/4,3,true,true,true,true,0,0,
QVyVDoGB-eg,https://www.youtube.com/watch?v=QVyVDoGB-eg,7_8,7_8_QVyVDoGB-eg.beat,7_8_QVyVDoGB-eg.beat.beats.json,100,219.3334,3.66,7/4|8/4|6/4,6/4,3,true,true,true,true,0,0,
n2m9ebS3tEo,https://www.youtube.com/watch?v=n2m9ebS3tEo,Beautiful Fin,Beautiful Fin_n2m9ebS3tEo.beat,Beautiful Fin_n2m9ebS3tEo.beat.beats.json,83,200.2041,3.34,3/4|4/4|7/8,4/4,3,true,true,true,true,2,2,shuffle|fermata
8PmFTQLw3fc,https://www.youtube.com/watch?v=8PmFTQLw3fc,Dance of the Little Fairies,Dance of the Little Fairies_8PmFTQLw3fc.beat,Dance of the Little Fairies_8PmFTQLw3fc.beat.beats.json,97,206.3830,3.44,5/4,5/4,1,false,true,true,true,1,1,rit
d-9LS0oKOmk,https://www.youtube.com/watch?v=d-9LS0oKOmk,Dave's Gone Skiing,Dave's Gone Skiing_d-9LS0oKOmk.beat,Dave's Gone Skiing_d-9LS0oKOmk.beat.beats.json,139,295.5799,4.93,2/4|9/8|7/8|4/4,4/4,4,true,true,true,true,0,0,
cLdkQlNoAWM,https://www.youtube.com/watch?v=cLdkQlNoAWM,Do You Want It All,Do You Want It All_cLdkQlNoAWM.beat,Do You Want It All_cLdkQlNoAWM.beat.beats.json,76,207.2728,3.45,7/4,7/4,1,false,true,true,true,0,0,
QUv3uIDLhNA,https://www.youtube.com/watch?v=QUv3uIDLhNA,Dreaming bird,Dreaming bird_QUv3uIDLhNA.beat,Dreaming bird_QUv3uIDLhNA.beat.beats.json,194,276.0000,4.60,3/4|6/4|2/4|4/4|7/4,4/4,5,true,true,true,true,0,0,
GRMLpJ-v7vk,https://www.youtube.com/watch?v=GRMLpJ-v7vk,Dreaming in Metaphors,Dreaming in Metaphors_GRMLpJ-v7vk.beat,Dreaming in Metaphors_GRMLpJ-v7vk.beat.beats.json,150,350.0000,5.83,7/8,7/8,1,false,true,true,true,0,0,
